bu_code;bu_naam;gm_naam
BU00140000;Binnenstad-Noord;Groningen
BU00140001;Binnenstad-Zuid;Groningen
BU00140002;Binnenstad-Oost;Groningen
BU00140003;Binnenstad-West;Groningen
BU00140004;Noorderplantsoen;Groningen
BU00140005;Hortusbuurt-Ebbingekwartier;Groningen
BU00140007;UMCG;Groningen
BU00140008;Stationsgebied;Groningen
BU00140100;De Meeuwen;Groningen
BU00140101;Oosterpoort;Groningen
BU00140102;Herewegbuurt;Groningen
BU00140103;Rivierenbuurt;Groningen
BU00140104;Grunobuurt;Groningen
BU00140105;Badstratenbuurt;Groningen
BU00140106;Zeeheldenbuurt;Groningen
BU00140107;Laanhuizen;Groningen
BU00140108;Stadspark;Groningen
BU00140109;Martini Trade Park;Groningen
BU00140110;Peizerweg;Groningen
BU00140200;Oranjebuurt;Groningen
BU00140201;Noorderplantsoenbuurt;Groningen
BU00140202;Schildersbuurt;Groningen
BU00140203;Kostverloren;Groningen
BU00140300;De Hoogte;Groningen
BU00140301;Indische buurt;Groningen
BU00140302;Professorenbuurt;Groningen
BU00140400;Gorechtbuurt;Groningen
BU00140401;Vogelbuurt;Groningen
BU00140402;Bloemenbuurt;Groningen
BU00140403;Florabuurt;Groningen
BU00140404;Damsterbuurt;Groningen
BU00140500;De Linie;Groningen
BU00140501;Europapark;Groningen
BU00140502;Eemskanaal;Groningen
BU00140503;Kop van Oost;Groningen
BU00140504;Woonschepenhaven;Groningen
BU00140505;Driebond;Groningen
BU00140506;Eemspoort;Groningen
BU00140507;Euvelgunne;Groningen
BU00140508;Winschoterdiep;Groningen
BU00140509;Stainkoel'n;Groningen
BU00140510;Roodehaan;Groningen
BU00140511;Waterhuizen;Groningen
BU00140600;Sterrebosbuurt;Groningen
BU00140601;Coendersborg;Groningen
BU00140602;Klein Martijn;Groningen
BU00140603;Villabuurt;Groningen
BU00140604;Helpman;Groningen
BU00140605;De Wijert;Groningen
BU00140606;De Wijert-Zuid;Groningen
BU00140700;Corpus den Hoorn;Groningen
BU00140701;Hoornse Meer;Groningen
BU00140702;Hoornse Park;Groningen
BU00140703;Van Swieten;Groningen
BU00140704;Piccardthof;Groningen
BU00140705;Bruilweering;Groningen
BU00140800;Hoogkerk Dorp;Groningen
BU00140801;Hoogkerk-Zuid;Groningen
BU00140802;Westpoort;Groningen
BU00140803;Vierverlaten;Groningen
BU00140804;Zuidwending;Groningen
BU00140805;Leegkerk;Groningen
BU00140806;Gravenburg;Groningen
BU00140809;Bangeweer;Groningen
BU00140810;De Buitenhof;Groningen
BU00140811;Kranenburg;Groningen
BU00140812;De Kring;Groningen
BU00140900;Vinkhuizen-Noord;Groningen
BU00140901;Vinkhuizen-Zuid;Groningen
BU00140902;Hoendiep;Groningen
BU00140903;Friesestraatweg;Groningen
BU00140904;Reitdiep;Groningen
BU00140905;Dorkwerd;Groningen
BU00140906;De Held;Groningen
BU00140907;Westpark;Groningen
BU00140908;De Suikerzijde-Noord;Groningen
BU00140909;De Suikerzijde-Zuid;Groningen
BU00141000;Selwerd;Groningen
BU00141001;Paddepoel-Zuid;Groningen
BU00141002;Paddepoel-Noord;Groningen
BU00141003;Zernike Campus;Groningen
BU00141004;Selwerderhof;Groningen
BU00141005;Tuinwijk;Groningen
BU00141100;Beijum-West;Groningen
BU00141101;Beijum-Oost;Groningen
BU00141102;De Hunze;Groningen
BU00141103;Van Starkenborgh;Groningen
BU00141104;Noorderhoogebrug;Groningen
BU00141105;Het Witte Lam;Groningen
BU00141106;Koningslaagte;Groningen
BU00141107;Hunzeboord;Groningen
BU00141200;Lewenborg-Noord;Groningen
BU00141201;Lewenborg-Zuid;Groningen
BU00141202;Lewenborg-West;Groningen
BU00141203;Oosterhoogebrug;Groningen
BU00141204;Ulgersmaborg;Groningen
BU00141205;Hunzepark;Groningen
BU00141206;Zilvermeer;Groningen
BU00141207;Kardinge;Groningen
BU00141208;Drielanden;Groningen
BU00141209;Noorddijk;Groningen
BU00141210;Ruischerbrug;Groningen
BU00141211;Ruischerwaard;Groningen
BU00141300;Middelbert;Groningen
BU00141301;Engelbert;Groningen
BU00141302;Klein Harkstede;Groningen
BU00141400;Meeroevers;Groningen
BU00141401;Harkstede GN;Groningen
BU00141402;Lageland GN;Groningen
BU00141403;Groenewei;Groningen
BU00141404;Tersluis;Groningen
BU00141405;De Zeilen;Groningen
BU00141406;De Wierden;Groningen
BU00141500;Ten Boer Dorp;Groningen
BU00141501;Buitengebied Ten Boer-Zuid;Groningen
BU00141502;Garmerwolde;Groningen
BU00141503;Thesinge;Groningen
BU00141504;Sint Annen;Groningen
BU00141505;Buitengebied Ten Boer-Noord;Groningen
BU00141506;Bedrijventerrein Ten Boer;Groningen
BU00141600;Ten Post Dorp;Groningen
BU00141601;Lellens;Groningen
BU00141602;Woltersum;Groningen
BU00141603;Winneweer;Groningen
BU00141604;Wittewierum;Groningen
BU00141605;Buitengebied Ten Post;Groningen
BU00141700;Haren-Centrum;Groningen
BU00141701;Haren-Zuidwest;Groningen
BU00141702;Haren-Zuidoost;Groningen
BU00141703;Haren-Noord;Groningen
BU00141704;Essen;Groningen
BU00141705;Buitengebied Haren-Noordwest;Groningen
BU00141706;Nesciopark;Groningen
BU00141707;Paterswoldsemeer;Groningen
BU00141708;Buitengebied Haren-Zuidoost;Groningen
BU00141709;Wolddeelen;Groningen
BU00141710;Buitengebied Haren-Zuidwest;Groningen
BU00141800;Oosterhaar;Groningen
BU00141801;Tuindorp;Groningen
BU00141802;Felland;Groningen
BU00141803;Buitengebied Haren-Noordoost;Groningen
BU00141900;Glimmen Dorp;Groningen
BU00141901;Onnen Dorp;Groningen
BU00141902;Noordlaren Dorp;Groningen
BU00141903;Buitengebied Glimmen;Groningen
BU00141904;Buitengebied Onnen;Groningen
BU00141905;Buitengebied Noordlaren;Groningen
BU00141906;Zuidlaardermeer;Groningen
BU00141907;Noordlaarderbos;Groningen
BU00141908;Appelbergen Glimmen;Groningen
BU00141909;Appelbergen Onnen;Groningen
BU00340101;Centrum Haven Noord;Almere
BU00340102;Centrum Haven Zuid;Almere
BU00340201;Rozenwerf en Tuinderswerf;Almere
BU00340202;Achterwerf;Almere
BU00340203;Goedewerf en Wittewerf;Almere
BU00340204;Schoolwerf;Almere
BU00340205;Parkwerf en Stadswerf;Almere
BU00340301;Buitenhof en Groenhof;Almere
BU00340302;Middenhof en Uithof;Almere
BU00340303;Binnenhof en Langshof (met Nieuwstraat);Almere
BU00340304;Park Uithof;Almere
BU00340401;Jaagmeent en Grasmeent;Almere
BU00340402;Schapenmeent en Terpmeent;Almere
BU00340403;Rietmeent en Dijkmeent;Almere
BU00340501;Klavergriend, Klippriend en Wilgengriend;Almere
BU00340502;Kolkgriend en Oostgriend;Almere
BU00340503;Kadegriend en Overgriend;Almere
BU00340504;Bosgebied De Grienden;Almere
BU00340601;Hofmark, Redemark en Sportmark;Almere
BU00340602;Ambachtsmark, Vrijmark en Zuidmark;Almere
BU00340603;Brugmark, Noordmark en Gildemark;Almere
BU00340604;Sportpark De Marken;Almere
BU00340605;Splittershoek;Almere
BU00340606;Vliegerpark;Almere
BU00340701;Lindengouw, Muidergouw en Peppengouw;Almere
BU00340702;Kromgouw en Overgouw;Almere
BU00340703;Bosgouw, Brongouw en Nijvergouw;Almere
BU00340704;Bedrijventerrein De Paal;Almere
BU00340801;Kornwierde en Leemwierde;Almere
BU00340802;Keiwierde en Oldewierde;Almere
BU00340803;Hoekwierde, Kimwierde en Zandwierde;Almere
BU00340901;De Velden Noord;Almere
BU00340902;De Velden Zuid;Almere
BU00341001;Overgooi (brt);Almere
BU00341002;Waterlandse Tuinen, Windhoek en Schapenbos;Almere
BU00341003;Cirkelbos;Almere
BU00341101;De Laren Noord;Almere
BU00341102;De Laren Zuid;Almere
BU00341401;De Steiger (brt);Almere
BU00341501;Stichtsekant (brt);Almere
BU00341601;Overig Almere Haven Oost;Almere
BU00341602;Overig Almere Haven West;Almere
BU00341701;Centrum Stad Noord;Almere
BU00341702;Centrum Stad Oost;Almere
BU00341703;Centrum Stad Zuidoost;Almere
BU00341704;Centrum Stad Zuidwest;Almere
BU00341705;Centrum Stad West;Almere
BU00341801;Filmwijk Noord;Almere
BU00341802;Filmwijk Bouwrai Noord;Almere
BU00341803;Filmwijk Bouwrai Zuid;Almere
BU00341804;Filmwijk Midden;Almere
BU00341805;Filmwijk Zuid-noord van Walt Disneyplts.;Almere
BU00341806;Filmwijk Zuid-zuid van Walt Disneyplts.;Almere
BU00341807;Lumierepark;Almere
BU00341808;Laterna Magikapark;Almere
BU00341901;Danswijk Noordwest;Almere
BU00341902;Danswijk Noordoost;Almere
BU00341903;Danswijk Zuidoost;Almere
BU00341904;Danswijk Zuidwest;Almere
BU00342001;Parkwijk Noordwest;Almere
BU00342002;Parkwijk Noordoost;Almere
BU00342003;Parkwijk Zuidoost;Almere
BU00342004;Parkwijk Zuidwest;Almere
BU00342005;Ebenezer Howardpark;Almere
BU00342101;Verzetswijk Oost;Almere
BU00342102;Verzetswijk West;Almere
BU00342103;Hannie Schaftpark/Bos der Onverzettelijk;Almere
BU00342201;Waterwijk Noord;Almere
BU00342202;Waterwijk Oost;Almere
BU00342203;Waterwijk Zuid;Almere
BU00342204;Waterwijk Midden;Almere
BU00342205;Waterwijk West;Almere
BU00342206;Bedrijventerrein Gietersplaats;Almere
BU00342301;Tussen de Vaarten N.- Noord;Almere
BU00342302;Tussen de Vaarten N.- Oost;Almere
BU00342303;Tussen de Vaarten N.- West;Almere
BU00342304;Sportpark Fanny Blankers Koen;Almere
BU00342401;Tussen de Vaarten Z.- Noordwest;Almere
BU00342402;Tussen de Vaarten Z.- Noordoost;Almere
BU00342403;Tussen de Vaarten Z.- Midden oost;Almere
BU00342404;Tussen de Vaarten Z.- Zuidoost;Almere
BU00342405;Tussen de Vaarten Z.- Zuidwest;Almere
BU00342406;Tussen de Vaarten Z.- Midden west;Almere
BU00342407;Bedrijventerrein Het Atelier;Almere
BU00342408;Sallandsebos;Almere
BU00342501;Staatsliedenwijk Oost;Almere
BU00342502;Staatsliedenwijk Midden;Almere
BU00342503;Staatsliedenwijk West;Almere
BU00342601;Kruidenwijk Noordwest;Almere
BU00342602;Kruidenwijk Noord- midden;Almere
BU00342603;Kruidenwijk Noordoost;Almere
BU00342604;Kruidenwijk Midden-oost;Almere
BU00342605;Kruidenwijk Zuid;Almere
BU00342606;Kruidenwijk Midden-west;Almere
BU00342607;Bedrijventerrein Frezersplaats;Almere
BU00342608;Rie Mastenbroeksportpark;Almere
BU00342609;Koningin Beatrixpark;Almere
BU00342701;Stedenwijk Noord;Almere
BU00342702;Stedenwijk Midden-noord;Almere
BU00342703;Stedenwijk Midden-oost;Almere
BU00342704;Stedenwijk Zuid;Almere
BU00342705;Stedenwijk Midden-west;Almere
BU00342706;Bedrijvensterrein Draaiersplaats;Almere
BU00342707;De Korver Sportpark en Annapark;Almere
BU00342708;Dr J.M. den Uylpark;Almere
BU00342801;Muziekwijk N.-Noordwest;Almere
BU00342802;Muziekwijk N.-Noord;Almere
BU00342803;Muziekwijk N.-Noordoost;Almere
BU00342804;Muziekwijk N.-Midden;Almere
BU00342805;Muziekwijk N.-Oost;Almere
BU00342806;Muziekwijk N.-Zuidoost;Almere
BU00342807;Muziekwijk N.-Zuidwest;Almere
BU00342808;Muziekwijk N.-West;Almere
BU00342809;Bedrijventerrein Josephine Bakerstraat;Almere
BU00342810;Klein Brandt Sportpark;Almere
BU00342901;Muziekwijk Z.-Noord;Almere
BU00342902;Muziekwijk Z.-Oost;Almere
BU00342903;Muziekwijk Z.-West;Almere
BU00342904;Bedrijventerrein Felsersplaats;Almere
BU00343001;Literatuurwijk Noordwest;Almere
BU00343002;Literatuurwijk Noordoost;Almere
BU00343003;Literatuurwijk Midden-oost;Almere
BU00343004;Literatuurwijk Zuid;Almere
BU00343005;Literatuurwijk Midden-west;Almere
BU00343006;Bedrijventerrein De Binderij;Almere
BU00343007;Bedrijventerrein De Uitgeverij;Almere
BU00343101;Noorderplassen Oost;Almere
BU00343102;Noorderplassen W.- Noord;Almere
BU00343103;Noorderplassen W.-Oost;Almere
BU00343104;Noorderplassen W.-Zuid;Almere
BU00343105;Noorderplassen W.-West;Almere
BU00343201;Hortus (brt);Almere
BU00343401;Randstad Oost;Almere
BU00343402;Randstad Zuid;Almere
BU00343403;Randstad West;Almere
BU00343501;Markerkant Noord;Almere
BU00343502;Markerkant Zuid;Almere
BU00343601;Hollandsekant (brt);Almere
BU00343701;Gooisekant Oost;Almere
BU00343702;Gooisekant West;Almere
BU00343801;Veluwsekant Oost;Almere
BU00343802;Veluwsekant West;Almere
BU00343901;Sallandsekant Noordoost;Almere
BU00343902;Sallandsekant Zuidoost;Almere
BU00343903;Sallandsekant Zuidwest;Almere
BU00344001;Overig Almere Stad Noord;Almere
BU00344002;Overig Almere Stad Zuid;Almere
BU00344003;Overig Almere Stad West;Almere
BU00344101;Centrum Almere Buiten Noord;Almere
BU00344102;Centrum Almere Buiten Zuid;Almere
BU00344201;Oostvaardersbuurt Noord;Almere
BU00344202;Oostvaardersbuurt Oost;Almere
BU00344203;Oostvaardersbuurt West;Almere
BU00344204;Oostrandpark West;Almere
BU00344301;Seizoenenbuurt Noord;Almere
BU00344302;Seizoenenbuurt Oost;Almere
BU00344303;Seizoenenbuurt West;Almere
BU00344304;Meridiaanpark Noord en Bosrand;Almere
BU00344401;Molenbuurt Oost;Almere
BU00344402;Molenbuurt West;Almere
BU00344403;Bedrijventerrein Molenbuurt;Almere
BU00344501;Bouwmeesterbuurt Noord;Almere
BU00344502;Bouwmeesterbuurt Oost;Almere
BU00344503;Bouwmeesterbuurt West;Almere
BU00344504;Bedrijventerrein Bouwmeesterbuurt;Almere
BU00344505;Sportpark Polderkwartier en Polderpark;Almere
BU00344601;Landgoederenbuurt Noord;Almere
BU00344602;Landgoederenbuurt Oost;Almere
BU00344603;Landgoederenbuurt Zuid en West;Almere
BU00344701;Faunabuurt Noord;Almere
BU00344702;Faunabuurt Zuidoost;Almere
BU00344703;Faunabuurt Zuidwest;Almere
BU00344704;Bedrijventerrein Faunabuurt;Almere
BU00344801;Bloemenbuurt Noord;Almere
BU00344802;Bloemenbuurt Oost;Almere
BU00344803;Bloemenbuurt Zuid;Almere
BU00344804;Bloemenbuurt West;Almere
BU00344901;Regenboogbuurt Noord en Oost;Almere
BU00344902;Regenboogbuurt Zuid;Almere
BU00344903;Regenboogbuurt West;Almere
BU00344904;Meridiaanpark Zuid;Almere
BU00345001;Indische Buurt Oost;Almere
BU00345002;Indische Buurt West;Almere
BU00345101;Eilandenbuurt Noord;Almere
BU00345102;Eilandenbuurt Oost;Almere
BU00345103;Eilandenbuurt Zuid;Almere
BU00345104;Eilandenbuurt West;Almere
BU00345105;Bedrijventerrein De Rederij;Almere
BU00345201;Stripheldenbuurt Noordwest;Almere
BU00345202;Stripheldenbuurt Noordoost;Almere
BU00345203;Stripheldenbuurt Midden- oost;Almere
BU00345204;Stripheldenbuurt Oost;Almere
BU00345205;Stripheldenbuurt Zuid;Almere
BU00345206;Stripheldenbuurt Midden- west;Almere
BU00345207;Bedrijventerrein De Striptekenaar;Almere
BU00345301;Sieradenbuurt (brt);Almere
BU00345302;Oostrandpark Oost;Almere
BU00345601;Poldervlak Oost;Almere
BU00345602;Poldervlak West;Almere
BU00345701;Bedrijventerrein De Vaart 4-6;Almere
BU00345702;Bedrijventerrein De Vaart 1-3;Almere
BU00345801;Buitenvaart (brt);Almere
BU00345901;Overig Almere Buiten Noord;Almere
BU00345902;Overig Almere Buiten Zuid;Almere
BU00346001;Europakwartier Oost (brt);Almere
BU00346101;Europakwartier W.-Noord;Almere
BU00346102;Europakwartier W.-Zuid;Almere
BU00346103;Europakwartier W.-West;Almere
BU00346201;Columbuskwartier Noord;Almere
BU00346202;Columbuskwartier Zuid;Almere
BU00346301;Homeruskwartier Noord;Almere
BU00346302;Homeruskwartier Midden;Almere
BU00346303;Homeruskwartier Oost;Almere
BU00346304;Homeruskwartier Zuid;Almere
BU00346401;Olympiakwartier Oost (brt);Almere
BU00346501;Olympiakwartier West (brt);Almere
BU00346601;Duin Noord;Almere
BU00346602;Duin Zuid;Almere
BU00347101;Hogekant (brt);Almere
BU00347201;Middenkant (brt);Almere
BU00347301;Lagekant (brt);Almere
BU00347401;Overig Almere Poort Noord;Almere
BU00347402;Overig Almere Poort Zuid;Almere
BU00347501;Vogelhorst Noord;Almere
BU00347502;Vogelhorst Zuid;Almere
BU00347503;Vogelhorst-Golfbaan Almeerderhout;Almere
BU00347504;Bosgebied Vogelhorst;Almere
BU00347601;Nobelhorst Oost;Almere
BU00347602;Nobelhorst Zuid;Almere
BU00347603;Nobelhorst West;Almere
BU00347604;Bedrijventerrein Het Ambacht;Almere
BU00347701;Oosterwold Noord;Almere
BU00347702;Oosterwold Zuid;Almere
BU00347703;Kathadralenbos;Almere
BU00347901;Twentsekant (brt);Almere
BU00348501;Overig Almere Hout Oost;Almere
BU00348502;Overig Almere Hout West;Almere
BU00349615;Overig Almere Pampus (brt);Almere
BU00370100;Stadskanaal Centrum;Stadskanaal
BU00370101;Maarsstee;Stadskanaal
BU00370102;Maarswold;Stadskanaal
BU00370103;Maarsveld;Stadskanaal
BU00370104;De Hagen;Stadskanaal
BU00370105;Vogelwijk en De Borgen;Stadskanaal
BU00370106;Industriegebied Vleddermond;Stadskanaal
BU00370107;Dideldom;Stadskanaal
BU00370108;Parkwijk;Stadskanaal
BU00370109;Stadskanaal Noord Landskant;Stadskanaal
BU00370110;Stadskanaal Noord Centrum;Stadskanaal
BU00370111;Stadskanaal Noord;Stadskanaal
BU00370112;Waterland;Stadskanaal
BU00370200;Musselkanaal Centrum;Stadskanaal
BU00370201;Musselkanaal Zuid;Stadskanaal
BU00370202;Musselkanaal Noord;Stadskanaal
BU00370203;Ceresdorp;Stadskanaal
BU00370300;Onstwedde;Stadskanaal
BU00370301;Holte;Stadskanaal
BU00370308;Onstwedde Buitengebied Noord;Stadskanaal
BU00370309;Onstwedde Buitengebied Zuid;Stadskanaal
BU00370400;Mussel;Stadskanaal
BU00370401;Kopstukken;Stadskanaal
BU00370402;Vledderveen;Stadskanaal
BU00370409;Mussel Buitengebied;Stadskanaal
BU00370500;Alteveer;Stadskanaal
BU00370509;Alteveer Buitengebied;Stadskanaal
BU00470000;Veendam-Centrum;Veendam
BU00470001;Veendam-Oude Ae;Veendam
BU00470002;Veendam-Middenweg en omgeving;Veendam
BU00470003;Veendam en omgeving station;Veendam
BU00470004;Veendam-Zuid;Veendam
BU00470005;Veendam-Sorghvliet;Veendam
BU00470006;Veendam-industriegebied;Veendam
BU00470007;Buitenwoel;Veendam
BU00470100;Borgercompagnie (gedeeltelijk);Veendam
BU00470101;Ommelanderwijk;Veendam
BU00470102;Zuidwending;Veendam
BU00470109;Verspreide huizen;Veendam
BU00470200;Wildervank;Veendam
BU00470201;Boven-Wildervank;Veendam
BU00470202;Bareveld;Veendam
BU00470203;Wildervanksterdallen;Veendam
BU00470209;Verspreide huizen;Veendam
BU00500000;Centrum;Zeewolde
BU00500001;Eerste woonwijk;Zeewolde
BU00500002;Tweede woonwijk;Zeewolde
BU00500003;Derde woonwijk;Zeewolde
BU00500004;Buurt 4;Zeewolde
BU00500005;Buurt 5;Zeewolde
BU00500006;Zuidlob;Zeewolde
BU00500007;Middengebied;Zeewolde
BU00500008;Knardijkgebied;Zeewolde
BU00500009;Trekkersveld;Zeewolde
BU00500010;Horstenparc;Zeewolde
BU00590000;Buitenpost;Achtkarspelen
BU00590001;Twijzel;Achtkarspelen
BU00590002;Kootstertille;Achtkarspelen
BU00590003;Twijzelerheide;Achtkarspelen
BU00590004;Gerkesklooster;Achtkarspelen
BU00590005;Verspreide huizen Buitenpost;Achtkarspelen
BU00590006;Verspreide huizen Twijzel;Achtkarspelen
BU00590007;Verspreide huizen Kootstertille;Achtkarspelen
BU00590008;Verspreide huizen Twijzelerheide;Achtkarspelen
BU00590009;Verspreide huizen Gerkesklooster;Achtkarspelen
BU00590100;Stroobos;Achtkarspelen
BU00590102;Drogeham;Achtkarspelen
BU00590103;Augustinusga;Achtkarspelen
BU00590107;Verspreide huizen Stroobos;Achtkarspelen
BU00590108;Verspreide huizen Drogeham;Achtkarspelen
BU00590109;Verspreide huizen Augustinusga;Achtkarspelen
BU00590200;Surhuisterveen;Achtkarspelen
BU00590201;Harkema;Achtkarspelen
BU00590202;Surhuizum;Achtkarspelen
BU00590203;Boelenslaan;Achtkarspelen
BU00590206;Verspreide huizen Surhuisterveen;Achtkarspelen
BU00590207;Verspreide huizen Harkema;Achtkarspelen
BU00590208;Verspreide huizen Surhuizum;Achtkarspelen
BU00590209;Verspreide huizen Boelenslaan;Achtkarspelen
BU00600000;Nes;Ameland
BU00600001;Buren;Ameland
BU00600002;Ballum;Ameland
BU00600003;Hollum;Ameland
BU00600007;Verspreide huizen Ballum;Ameland
BU00600008;Verspreide huizen Nes;Ameland
BU00600009;Verspreide huizen Hollum;Ameland
BU00720001;De Spiker en het industrieterrein Hermes;Harlingen
BU00720002;Trebolbuurt;Harlingen
BU00720003;Plan-Zuid;Harlingen
BU00720004;Oosterpark;Harlingen
BU00720005;Koningsbuurt;Harlingen
BU00720006;Binnenstad;Harlingen
BU00720007;Industriehaven en omgeving;Harlingen
BU00720009;Verspreide huizen Harlingen;Harlingen
BU00720100;Midlum;Harlingen
BU00720109;Verspreide huizen Midlum;Harlingen
BU00720200;Wijnaldum;Harlingen
BU00720209;Verspreide huizen Wijnaldum;Harlingen
BU00740100;Noord;Heerenveen
BU00740101;Centrum;Heerenveen
BU00740102;Midden;Heerenveen
BU00740103;Nijehaske;Heerenveen
BU00740104;De Greiden;Heerenveen
BU00740105;De Heide;Heerenveen
BU00740106;De Akkers;Heerenveen
BU00740107;Skoatterwald;Heerenveen
BU00740108;Het meer;Heerenveen
BU00740109;Nieuweschoot;Heerenveen
BU00740110;Haskerveen;Heerenveen
BU00740201;Terband;Heerenveen
BU00740202;Luinjeberd;Heerenveen
BU00740203;Tjalleberd;Heerenveen
BU00740204;Gersloot;Heerenveen
BU00740205;Gersloot-polder;Heerenveen
BU00740301;De Knipe;Heerenveen
BU00740302;Bontebok;Heerenveen
BU00740401;Oudeschoot;Heerenveen
BU00740402;Mildam;Heerenveen
BU00740403;Katlijk;Heerenveen
BU00740404;Nieuwehorne;Heerenveen
BU00740405;Oudehorne;Heerenveen
BU00740406;Jubbega;Heerenveen
BU00740407;Hoornsterzwaag;Heerenveen
BU00740601;Oranjewoud;Heerenveen
BU00740701;Haskerdijken;Heerenveen
BU00740702;Nieuwebrug;Heerenveen
BU00740901;Akkrum;Heerenveen
BU00740902;Nes;Heerenveen
BU00740903;Aldeboarn;Heerenveen
BU00801001;De Waag;Leeuwarden
BU00801002;Nieuwestad;Leeuwarden
BU00801003;Oldehove;Leeuwarden
BU00801004;Grote Kerkbuurt;Leeuwarden
BU00801005;Hoek;Leeuwarden
BU00801006;Blokhuisplein;Leeuwarden
BU00801007;Zaailand;Leeuwarden
BU00801008;Stationskwartier;Leeuwarden
BU00801101;Tulpenburg;Leeuwarden
BU00801102;Oranjewijk;Leeuwarden
BU00801103;Achter de Hoven;Leeuwarden
BU00801104;Schepenbuurt;Leeuwarden
BU00801105;Wielenpolle;Leeuwarden
BU00801106;Huizum-Dorp;Leeuwarden
BU00801107;Huizum-Sixma;Leeuwarden
BU00801108;Huizum-Bornia;Leeuwarden
BU00801109;Huizum-Badweg;Leeuwarden
BU00802001;Oldegalileen;Leeuwarden
BU00802002;Bloemenbuurt;Leeuwarden
BU00802003;Cambuursterpad;Leeuwarden
BU00802004;Zamenhofpark;Leeuwarden
BU00802005;Cambuur;Leeuwarden
BU00802006;Zeeheldenbuurt;Leeuwarden
BU00802007;Indische buurt;Leeuwarden
BU00802008;Molenpad;Leeuwarden
BU00802009;Welgelegen;Leeuwarden
BU00803001;Transvaalwijk;Leeuwarden
BU00803002;Bonifatius;Leeuwarden
BU00803003;Rengerspark;Leeuwarden
BU00803004;Vogelwijk;Leeuwarden
BU00803005;Sonnenborgh;Leeuwarden
BU00803006;Valeriuskwartier;Leeuwarden
BU00803007;Magere Weide;Leeuwarden
BU00803101;Westeinde;Leeuwarden
BU00803102;Buitengebied Noordwest;Leeuwarden
BU00803201;Vossepark;Leeuwarden
BU00803202;Helicon;Leeuwarden
BU00803203;Harlingervaart Noord;Leeuwarden
BU00804001;Hollanderwijk;Leeuwarden
BU00804002;Gerard Dou;Leeuwarden
BU00804003;Julianapark;Leeuwarden
BU00804004;Jan van Scorelbuurt;Leeuwarden
BU00804101;Nijlan;Leeuwarden
BU00804102;De Zwette I Harlingervaart;Leeuwarden
BU00804103;De Zwette II Zwettehaven;Leeuwarden
BU00804104;De Zwette III Schenkenschans;Leeuwarden
BU00804105;De Zwette IV Businesspark;Leeuwarden
BU00804106;De Zwette V Newton;Leeuwarden
BU00804107;De Zwette VI Deinumerpolder;Leeuwarden
BU00804108;EnergieCampus Sylsterrak;Leeuwarden
BU00804109;Buitengebied De Zwette;Leeuwarden
BU00804110;Buitengebied West;Leeuwarden
BU00805001;Heechterp;Leeuwarden
BU00805002;Schieringen;Leeuwarden
BU00805003;De Centrale;Leeuwarden
BU00805101;Camminghaburen-Noord;Leeuwarden
BU00805102;Camminghaburen-Midden;Leeuwarden
BU00805103;Camminghaburen-Zuid;Leeuwarden
BU00805104;Grote Wielen;Leeuwarden
BU00805105;De Groene Ster;Leeuwarden
BU00806001;Bilgaard;Leeuwarden
BU00806002;Havankpark;Leeuwarden
BU00806003;Vierhuisterweg e.o.;Leeuwarden
BU00806101;Vrijheidswijk-West;Leeuwarden
BU00806102;Vrijheidswijk-Oost;Leeuwarden
BU00806201;Lekkum;Leeuwarden
BU00806202;Snakkerburen;Leeuwarden
BU00806203;Buitengebied Lekkum en Miedum;Leeuwarden
BU00806204;Blitsaerd;Leeuwarden
BU00806205;Jelsum;Leeuwarden
BU00806206;Buitengebied Jelsum;Leeuwarden
BU00806207;Koarnjum;Leeuwarden
BU00806208;Buitengebied Koarnjum;Leeuwarden
BU00806209;Britsum;Leeuwarden
BU00806210;Buitengebied Britsum;Leeuwarden
BU00806301;Stiens;Leeuwarden
BU00806302;Buitengebied Stiens;Leeuwarden
BU00806303;Feinsum;Leeuwarden
BU00806304;Buitengebied Feinsum;Leeuwarden
BU00806305;Hijum;Leeuwarden
BU00806306;Buitengebied Hijum;Leeuwarden
BU00806307;Alde Leie;Leeuwarden
BU00807001;Aldlan-Oost;Leeuwarden
BU00807002;Aldlan-West;Leeuwarden
BU00807003;Rapenburg;Leeuwarden
BU00807004;Hemrik;Leeuwarden
BU00807101;Goutum;Leeuwarden
BU00807201;Hempens/Teerns;Leeuwarden
BU00807202;Buitengebied Hempens;Leeuwarden
BU00807203;Zuiderburen;Leeuwarden
BU00807301;Techum;Leeuwarden
BU00807302;Wiarda;Leeuwarden
BU00807303;De Werp;Leeuwarden
BU00807304;De Zuidlanden;Leeuwarden
BU00807305;De Klamp;Leeuwarden
BU00807401;Havensted;Leeuwarden
BU00807402;Barrahus;Leeuwarden
BU00807403;Wettersted;Leeuwarden
BU00807404;De Fellingen;Leeuwarden
BU00807405;Boksumerhoeke;Leeuwarden
BU00808001;Wirdum;Leeuwarden
BU00808002;Swichum;Leeuwarden
BU00808003;Buitengebied Wirdum;Leeuwarden
BU00808004;Wergea;Leeuwarden
BU00808005;Buitengebied Wergea;Leeuwarden
BU00808006;Warstiens;Leeuwarden
BU00808007;Warten;Leeuwarden
BU00808008;Buitengebied Warten;Leeuwarden
BU00808101;Wytgaard;Leeuwarden
BU00808102;Buitengebied Wytgaard;Leeuwarden
